word,sentiment,n,value
love,positive,994,3
support,positive,971,2
racist,negative,946,-3
hate,negative,787,-3
win,positive,762,4
peace,positive,686,2
bad,negative,676,-3
free,positive,568,1
fascist,negative,554,-2
racism,negative,538,-3
faith,positive,522,1
wrong,negative,512,-2
fraud,negative,511,-4
lost,negative,454,-3
congratulations,positive,445,2
won,positive,430,3
freedom,positive,427,2
die,negative,426,-3
attack,negative,418,-1
hard,negative,413,-1
shit,negative,409,-4
happy,positive,393,3
proud,positive,388,2
pretty,positive,327,1
fear,negative,326,-2
evil,negative,309,-3
popular,positive,308,3
propaganda,negative,275,-2
kill,negative,262,-3
fuck,negative,260,-4
attacks,negative,257,-1
stupid,negative,256,-2
supporting,positive,253,1
terror,negative,251,-3
death,negative,248,-2
killed,negative,247,-3
sad,negative,237,-2
celebrate,positive,233,3
killing,negative,230,-3
fucking,negative,222,-4
wins,positive,215,4
shame,negative,214,-2
top,positive,208,2
hell,negative,207,-4
conspiracy,negative,205,-3
criminal,negative,205,-3
fair,positive,204,2
fake,negative,199,-3
peaceful,positive,196,2
threat,negative,194,-2
amazing,positive,193,4
illegal,negative,192,-3
protect,positive,189,1
violent,negative,183,-3
strong,positive,181,2
worst,negative,178,-3
worse,negative,177,-3
nonsense,negative,176,-2
funny,negative,173,4
condemn,negative,170,-2
nice,positive,170,3
bullshit,negative,166,-4
excited,positive,165,3
winning,positive,164,4
destroy,negative,163,-3
fine,positive,160,2
failed,negative,159,-2
perfect,positive,159,3
wow,positive,156,4
favorite,positive,154,2
ignore,negative,152,-1
poor,negative,152,-2
beautiful,positive,150,3
disgusting,negative,150,-3
crazy,negative,146,-2
risk,negative,146,-2
sick,negative,146,-2
dead,negative,145,-3
congratulate,positive,143,2
murder,negative,141,-2
powerful,positive,141,2
crime,negative,140,-3
safe,positive,138,1
damn,negative,136,-4
enemy,negative,134,-2
enemies,negative,132,-2
weird,negative,132,-2
losing,negative,130,-3
glad,positive,126,3
hates,negative,125,-3
blame,negative,123,-2
cool,positive,122,1
benefit,positive,121,2
crisis,negative,121,-3
worth,positive,120,2
ignorant,negative,119,-2
supported,positive,119,2
dumb,negative,116,-3
supports,positive,116,2
joy,positive,115,3
broken,negative,114,-1
honor,positive,112,2
refusing,negative,112,-2
trust,positive,112,1
easy,positive,111,1
pathetic,negative,111,-2
racists,negative,109,-3
protest,negative,108,-2
worry,negative,108,-3
fun,positive,107,4
afraid,negative,106,-2
mad,negative,105,-3
tout,negative,105,-2
doubt,negative,104,-1
loved,positive,104,3
rape,negative,102,-4
steal,negative,102,-2
protests,negative,100,-2
rich,positive,100,2
hurt,negative,98,-2
lack,negative,97,-2
loser,negative,97,-3
helping,positive,95,2
prison,negative,94,-2
abuse,negative,93,-3
honest,positive,93,2
ignorance,negative,93,-2
progress,positive,93,2
idiot,negative,91,-3
sadly,negative,90,-2
excuse,negative,89,-1
winner,positive,89,4
miss,negative,88,-2
significant,positive,87,1
enjoy,positive,86,2
insane,negative,86,-2
ridiculous,negative,86,-3
undermine,negative,86,-2
difficult,negative,85,-1
dishonest,negative,85,-2
gain,positive,85,2
joke,negative,85,2
conflict,negative,84,-2
super,positive,84,3
chaos,negative,83,-2
crap,negative,83,-3
danger,negative,83,-2
died,negative,81,-3
loving,positive,81,2
shameful,negative,81,-2
tired,negative,80,-2
accusations,negative,79,-2
wonderful,positive,79,4
angry,negative,78,-3
worried,negative,78,-3
liar,negative,77,-3
solidarity,positive,77,2
threats,negative,77,-2
fail,negative,76,-2
disgrace,negative,75,-2
desperate,negative,74,-3
insult,negative,74,-2
ashamed,negative,73,-2
reject,negative,73,-1
smart,positive,73,1
anger,negative,72,-3
incompetent,negative,72,-2
refused,negative,72,-2
favor,positive,71,2
likes,positive,71,2
mistake,negative,71,-2
cry,negative,70,-1
encourage,positive,70,2
weak,negative,70,-2
celebrated,positive,69,3
refuse,negative,69,-2
terrible,negative,69,-3
criticism,negative,68,-2
scared,negative,68,-2
dire,negative,67,-3
horrible,negative,67,-3
missed,negative,66,-2
bias,negative,65,-1
broke,negative,65,-1
excellent,positive,65,3
positive,positive,65,2
supporter,positive,65,1
treasonous,negative,64,-3
