word,sentiment,n,value
fascist,negative,509,-2
fraud,negative,451,-4
support,positive,409,2
racist,negative,388,-3
win,positive,363,4
lost,negative,255,-3
bad,negative,218,-3
free,positive,214,1
popular,positive,212,3
won,positive,193,3
propaganda,negative,192,-2
hate,negative,183,-3
hard,negative,163,-1
conspiracy,negative,158,-3
wrong,negative,155,-2
attack,negative,150,-1
racism,negative,144,-3
fear,negative,134,-2
shame,negative,132,-2
shit,negative,129,-4
fair,positive,128,2
evil,negative,121,-3
supporting,positive,120,1
love,positive,113,3
illegal,negative,109,-3
pretty,positive,109,1
stupid,negative,109,-2
bullshit,negative,108,-4
freedom,positive,107,2
nonsense,negative,104,-2
sad,negative,104,-2
criminal,negative,99,-3
refusing,negative,96,-2
worst,negative,94,-3
ignore,negative,92,-1
faith,positive,89,1
fuck,negative,88,-4
winning,positive,88,4
failed,negative,87,-2
threat,negative,87,-2
wins,positive,87,4
losing,negative,86,-3
pathetic,negative,85,-2
loser,negative,81,-3
undermine,negative,79,-2
dishonest,negative,78,-2
steal,negative,78,-2
disgusting,negative,76,-3
fucking,negative,75,-4
condemn,negative,73,-2
destroy,negative,73,-3
worse,negative,71,-3
protect,positive,70,1
winner,positive,70,4
peaceful,positive,68,2
accusations,negative,66,-2
violent,negative,64,-3
shameful,negative,63,-2
chaos,negative,61,-2
liar,negative,60,-3
treasonous,negative,60,-3
fine,positive,59,2
top,positive,57,2
incompetent,negative,55,-2
sick,negative,55,-2
crazy,negative,54,-2
dumb,negative,54,-3
proud,positive,52,2
supports,positive,52,2
death,negative,51,-2
desperate,negative,51,-3
disgrace,negative,50,-2
favor,positive,50,2
attacks,negative,49,-1
protests,negative,49,-2
idiot,negative,48,-3
insane,negative,48,-2
terrible,negative,47,-3
afraid,negative,46,-2
ashamed,negative,46,-2
strong,positive,46,2
dead,negative,45,-3
hell,negative,45,-4
ignorant,negative,45,-2
irresponsible,negative,45,2
protest,negative,45,-2
damn,negative,44,-4
racists,negative,44,-3
supported,positive,44,2
crap,negative,43,-3
broken,negative,42,-1
failure,negative,42,-2
fake,negative,42,-3
irrational,negative,42,-1
poor,negative,42,-2
undermining,negative,42,-2
danger,negative,41,-2
helping,positive,41,2
wow,positive,41,4
enemies,negative,40,-2
fail,negative,40,-2
sore,negative,40,-1
doubt,negative,39,-1
nice,positive,39,3
progress,positive,39,2
ridiculous,negative,39,-3
worth,positive,39,2
easy,positive,38,1
refuse,negative,38,-2
reject,negative,38,-1
anger,negative,37,-3
honest,positive,37,2
lack,negative,37,-2
tired,negative,37,-2
benefit,positive,36,2
destructive,negative,36,-3
disaster,negative,36,-2
glad,positive,36,3
happy,positive,36,3
intimidation,negative,36,-2
mistake,negative,36,-2
trust,positive,36,1
crisis,negative,35,-3
sadly,negative,35,-2
difficult,negative,34,-1
gain,positive,34,2
fraudulent,negative,33,-4
funny,negative,33,4
powerful,positive,33,2
pretend,negative,33,-1
protesting,negative,33,-2
scary,negative,33,-2
embarrassing,negative,32,-2
loving,positive,32,2
refused,negative,32,-2
significant,positive,32,1
smart,positive,32,1
damage,negative,31,-3
hates,negative,31,-3
horrible,negative,31,-3
die,negative,30,-3
honor,positive,30,2
risk,negative,30,-2
safe,positive,30,1
threats,negative,30,-2
weird,negative,30,-2
destruction,negative,29,-3
excuse,negative,29,-1
liars,negative,29,-3
perfectly,positive,29,3
pleased,positive,29,3
trusted,positive,29,2
unacceptable,negative,29,-2
cool,positive,28,1
treason,negative,28,-3
bias,negative,27,-1
denying,negative,27,-2
weak,negative,27,-2
abuse,negative,26,-3
angry,negative,26,-3
crime,negative,26,-3
greed,negative,26,-3
healthy,positive,26,2
hurt,negative,26,-2
rich,positive,26,2
cheat,negative,25,-3
deny,negative,25,-2
kill,negative,25,-3
stolen,negative,25,-2
likes,positive,24,2
loss,negative,24,-3
shocking,negative,24,-2
awful,negative,23,-3
benefits,positive,23,2
blame,negative,23,-2
conflict,negative,23,-2
disturbing,negative,23,-2
rejected,negative,23,-1
scared,negative,23,-2
worry,negative,23,-3
coward,negative,22,-2
defeated,positive,22,-2
endorsed,positive,22,2
irony,negative,22,-1
joke,negative,22,2
rant,negative,22,-3
suck,negative,22,-3
super,positive,22,3
excellent,positive,21,3
peace,positive,21,2
supporter,positive,21,1
unethical,negative,21,-2
vile,negative,21,-3
failing,negative,20,-2
friendly,positive,20,2
rants,negative,20,-3
reckless,negative,20,-2
celebrate,positive,19,3
condemned,negative,19,-2
enemy,negative,19,-2
killed,negative,19,-3
badly,negative,18,-3
blind,negative,18,-1
confuse,negative,18,-2
effective,positive,18,2
mess,negative,18,-2
threatening,negative,18,-2
worried,negative,18,-3
desperately,negative,17,-3
disdain,negative,17,-2
disgusted,negative,17,-3
hoax,negative,17,-2
hypocritical,negative,17,-2
impose,negative,17,-1
killing,negative,17,-3
limits,negative,17,-1
lunatic,negative,17,-3
naive,negative,17,-2
shocked,negative,17,-2
cancer,negative,16,-1
clean,positive,16,2
confidence,positive,16,2
congratulate,positive,16,2
disappointing,negative,16,-2
harm,negative,16,-2
ignorance,negative,16,-2
lied,negative,16,-2
miss,negative,16,-2
prison,negative,16,-2
ugly,negative,16,-3
undermines,negative,16,-2
approval,positive,15,2
brilliant,positive,15,4
perfect,positive,15,3
scandal,negative,15,-3
smarter,positive,15,2
suffer,negative,15,-2
undermined,negative,15,-2
betraying,negative,14,-3
bizarre,negative,14,-2
broke,negative,14,-1
bullying,negative,14,-2
cheated,negative,14,-3
cowardly,negative,14,-2
cry,negative,14,-1
died,negative,14,-3
dirty,negative,14,-2
favorite,positive,14,2
insanity,negative,14,-2
luck,positive,14,3
misleading,negative,14,-3
penalty,negative,14,-2
unbelievable,negative,14,-1
useless,negative,14,-2
absentee,negative,13,-1
aggressive,negative,13,-2
amazing,positive,13,4
bankrupt,negative,13,-3
foolish,negative,13,-2
gross,negative,13,-2
harmful,negative,13,-2
horrific,negative,13,-3
intimidate,negative,13,-2
mad,negative,13,-3
outrage,negative,13,-3
positive,positive,13,2
prosecute,negative,13,-1
stuck,negative,13,-2
success,positive,13,2
successful,positive,13,3
warning,negative,13,-3
waste,negative,13,-1
childish,negative,12,-2
commitment,positive,12,2
confused,negative,12,-2
denied,negative,12,-2
denounce,negative,12,-2
dump,negative,12,-1
fool,negative,12,-2
gaining,positive,12,2
hostile,negative,12,-2
loyalty,positive,12,3
peacefully,positive,12,2
poison,negative,12,-2
sabotage,negative,12,-2
scare,negative,12,-2
secure,positive,12,2
selfish,negative,12,-3
suspect,negative,12,-1
vicious,negative,12,-2
warned,negative,12,-2
bother,negative,11,-2
catastrophic,negative,11,-4
cruel,negative,11,-3
disregard,negative,11,-2
distraction,negative,11,-2
embarrassment,negative,11,-2
enjoy,positive,11,2
gains,positive,11,2
hating,negative,11,-3
hurting,negative,11,-2
missed,negative,11,-2
prominent,positive,11,2
solid,positive,11,2
struggle,negative,11,-2
travesty,negative,11,-2
advantage,positive,10,2
anxiety,negative,10,-2
bitter,negative,10,-2
comfort,positive,10,2
contempt,negative,10,-2
cruelty,negative,10,-3
cynical,negative,10,-2
decisive,positive,10,1
endorses,positive,10,2
guilty,negative,10,-3
humor,positive,10,2
hysteria,negative,10,-3
jerk,negative,10,-3
lame,negative,10,-2
moron,negative,10,-3
murder,negative,10,-2
myth,negative,10,-1
oppressive,negative,10,-2
punish,negative,10,-2
strike,negative,10,-1
upset,negative,10,-2
violate,negative,10,-2
vulnerable,negative,10,-2
wonderful,positive,10,4
bully,negative,9,-2
congratulations,positive,9,2
criticize,negative,9,-2
critics,negative,9,-2
defender,positive,9,2
disastrous,negative,9,-3
effectively,positive,9,2
endorse,positive,9,2
excited,positive,9,3
falling,negative,9,-1
farce,negative,9,-1
harsh,negative,9,-2
hurts,negative,9,-2
loose,negative,9,-3
loved,positive,9,3
negative,negative,9,-2
smear,negative,9,-2
threaten,negative,9,-2
unclear,negative,9,-1
wasting,negative,9,-2
bargain,positive,8,2
biased,negative,8,-2
capable,positive,8,1
chaotic,negative,8,-2
competitive,positive,8,2
complain,negative,8,-2
doomed,negative,8,-2
encourage,positive,8,2
fails,negative,8,-2
failures,negative,8,-2
fun,positive,8,4
grief,negative,8,-2
helpful,positive,8,2
idiotic,negative,8,-3
infuriating,negative,8,-2
loyal,positive,8,3
