word,sentiment,n,value
love,positive,290,3
peace,positive,220,2
hate,negative,209,-3
racist,negative,179,-3
support,positive,179,2
congratulations,positive,147,2
faith,positive,137,1
free,positive,137,1
racism,negative,132,-3
bad,negative,129,-3
die,negative,129,-3
wrong,negative,120,-2
win,positive,118,4
freedom,positive,117,2
happy,positive,116,3
proud,positive,106,2
shit,negative,90,-4
won,positive,86,3
attack,negative,81,-1
kill,negative,80,-3
killing,negative,80,-3
killed,negative,79,-3
hard,negative,77,-1
terror,negative,76,-3
death,negative,73,-2
pretty,positive,72,1
attacks,negative,67,-1
celebrate,positive,67,3
evil,negative,64,-3
lost,negative,62,-3
favorite,positive,60,2
amazing,positive,58,4
excited,positive,58,3
fear,negative,57,-2
fuck,negative,57,-4
fake,negative,56,-3
hell,negative,55,-4
sad,negative,54,-2
stupid,negative,51,-2
beautiful,positive,49,3
crime,negative,46,-3
top,positive,46,2
strong,positive,45,2
wins,positive,45,4
violent,negative,44,-3
congratulate,positive,43,2
perfect,positive,43,3
murder,negative,42,-2
protect,positive,41,1
supporting,positive,41,1
threat,negative,41,-2
fucking,negative,40,-4
funny,negative,40,4
nice,positive,39,3
tout,negative,39,-2
crazy,negative,38,-2
dead,negative,38,-3
enemies,negative,37,-2
worse,negative,37,-3
wow,positive,37,4
blame,negative,36,-2
condemn,negative,36,-2
enemy,negative,36,-2
criminal,negative,35,-3
destroy,negative,35,-3
hates,negative,35,-3
peaceful,positive,35,2
sick,negative,35,-2
benefit,positive,34,2
fun,positive,34,4
worry,negative,34,-3
worst,negative,34,-3
honor,positive,33,2
loved,positive,33,3
cool,positive,32,1
rape,negative,32,-4
risk,negative,32,-2
lack,negative,30,-2
miss,negative,30,-2
supported,positive,30,2
easy,positive,29,1
ignorant,negative,29,-2
poor,negative,29,-2
popular,positive,29,3
powerful,positive,29,2
propaganda,negative,29,-2
winning,positive,29,4
fine,positive,28,2
rich,positive,28,2
worth,positive,28,2
broken,negative,27,-1
damn,negative,27,-4
doubt,negative,27,-1
fair,positive,27,2
super,positive,27,3
crisis,negative,26,-3
criticism,negative,26,-2
dire,negative,26,-3
disgusting,negative,26,-3
insult,negative,26,-2
safe,positive,26,1
illegal,negative,25,-3
joy,positive,25,3
nonsense,negative,25,-2
glad,positive,24,3
mad,negative,24,-3
sadly,negative,24,-2
shame,negative,24,-2
weird,negative,24,-2
comprehensive,positive,23,2
dumb,negative,23,-3
joke,negative,23,2
racists,negative,23,-3
solidarity,positive,23,2
angry,negative,22,-3
ignore,negative,22,-1
abuse,negative,21,-3
enjoy,positive,21,2
failed,negative,21,-2
gain,positive,21,2
likes,positive,21,2
missed,negative,21,-2
prison,negative,21,-2
significant,positive,21,1
worried,negative,21,-3
celebrated,positive,20,3
cry,negative,20,-1
died,negative,20,-3
encourage,positive,20,2
grateful,positive,20,3
hurt,negative,20,-2
inspiration,positive,20,2
protest,negative,20,-2
trust,positive,20,1
wonderful,positive,20,4
afraid,negative,19,-2
ignorance,negative,19,-2
negative,negative,19,-2
success,positive,19,2
conflict,negative,18,-2
progress,positive,18,2
scared,negative,18,-2
brilliant,positive,17,4
broke,negative,17,-1
disrespect,negative,17,-2
excellent,positive,17,3
excuse,negative,17,-1
promise,positive,17,1
recommended,positive,17,2
supports,positive,17,2
awesome,positive,16,4
bullshit,negative,16,-4
crap,negative,16,-3
mistake,negative,16,-2
risks,negative,16,-2
sincere,positive,16,2
threats,negative,16,-2
bias,negative,15,-1
bitch,negative,15,-5
bomb,negative,15,-1
boycott,negative,15,-2
danger,negative,15,-2
difficult,negative,15,-1
hating,negative,15,-3
honest,positive,15,2
inspiring,positive,15,3
insulting,negative,15,-2
prominent,positive,15,2
promised,positive,15,1
successful,positive,15,3
suffering,negative,15,-2
weak,negative,15,-2
cancer,negative,14,-1
comfortable,positive,14,2
conspiracy,negative,14,-3
criticize,negative,14,-2
criticizing,negative,14,-2
destruction,negative,14,-3
fascist,negative,14,-2
fraud,negative,14,-4
heaven,positive,14,2
loving,positive,14,2
meaningful,positive,14,2
peacefully,positive,14,2
refused,negative,14,-2
shocking,negative,14,-2
struggle,negative,14,-2
tired,negative,14,-2
torture,negative,14,-4
trouble,negative,14,-2
anger,negative,13,-3
confused,negative,13,-2
exciting,positive,13,3
helping,positive,13,2
hopeful,positive,13,2
horrible,negative,13,-3
loyalty,positive,13,3
mock,negative,13,-2
outrage,negative,13,-3
recommend,positive,13,2
reject,negative,13,-1
ridiculous,negative,13,-3
strange,negative,13,-1
superior,positive,13,2
supporter,positive,13,1
advantage,positive,12,2
fail,negative,12,-2
harm,negative,12,-2
hated,negative,12,-3
kills,negative,12,-3
losing,negative,12,-3
mess,negative,12,-2
oppressive,negative,12,-2
protests,negative,12,-2
ashamed,negative,11,-2
award,positive,11,3
blind,negative,11,-1
clean,positive,11,2
courage,positive,11,2
creative,positive,11,2
criticized,negative,11,-2
damage,negative,11,-3
denounce,negative,11,-2
denying,negative,11,-2
effective,positive,11,2
endorsed,positive,11,2
failure,negative,11,-2
fantastic,positive,11,4
friendly,positive,11,2
grand,positive,11,3
idiot,negative,11,-3
intelligent,positive,11,2
noble,positive,11,2
overjoyed,positive,11,4
pretend,negative,11,-1
refuse,negative,11,-2
secure,positive,11,2
suicide,negative,11,-2
terrible,negative,11,-3
ugly,negative,11,-3
unacceptable,negative,11,-2
bullying,negative,10,-2
denied,negative,10,-2
deny,negative,10,-2
dislike,negative,10,-2
hero,positive,10,2
insults,negative,10,-2
limited,negative,10,-1
luck,positive,10,3
poverty,negative,10,-1
silly,negative,10,-1
struggling,negative,10,-2
suffer,negative,10,-2
uncomfortable,negative,10,-2
vibrant,positive,10,3
warning,negative,10,-3
accuse,negative,9,-2
annoying,negative,9,-2
bless,positive,9,2
calm,positive,9,2
chaos,negative,9,-2
dirty,negative,9,-2
drag,negative,9,-1
happiness,positive,9,3
insane,negative,9,-2
mercy,positive,9,2
positive,positive,9,2
protesting,negative,9,-2
smart,positive,9,1
stronger,positive,9,2
threatening,negative,9,-2
upset,negative,9,-2
anxiety,negative,8,-2
boost,positive,8,1
condemned,negative,8,-2
darkness,negative,8,-1
defeated,positive,8,-2
desperate,negative,8,-3
disputed,negative,8,-2
fascinating,positive,8,3
haters,negative,8,-3
healthy,positive,8,2
hypocritical,negative,8,-2
loss,negative,8,-3
mocking,negative,8,-2
motivated,positive,8,2
murderer,negative,8,-2
pain,negative,8,-2
perfectly,positive,8,3
scam,negative,8,-2
struggles,negative,8,-2
stuck,negative,8,-2
sucks,negative,8,-3
thrilled,positive,8,5
aggressive,negative,7,-2
benefits,positive,7,2
blah,negative,7,-2
blessing,positive,7,3
bloody,negative,7,-3
brave,positive,7,2
cheat,negative,7,-3
condemns,negative,7,-2
cute,positive,7,2
disgrace,negative,7,-2
ethical,positive,7,2
fallen,negative,7,-2
fresh,positive,7,1
gains,positive,7,2
hardship,negative,7,-2
hurts,negative,7,-2
impose,negative,7,-1
improve,positive,7,2
inspire,positive,7,2
insulted,negative,7,-2
intimidation,negative,7,-2
ironic,negative,7,-1
kudos,positive,7,3
liar,negative,7,-3
limits,negative,7,-1
lovely,positive,7,3
panic,negative,7,-3
pathetic,negative,7,-2
pleasure,positive,7,3
praise,positive,7,3
promises,positive,7,1
reward,positive,7,2
ruined,negative,7,-2
scary,negative,7,-2
stolen,negative,7,-2
tragic,negative,7,-2
wealthy,positive,7,2
winner,positive,7,4
worthy,positive,7,2
approval,positive,6,2
beloved,positive,6,3
biased,negative,6,-2
boring,negative,6,-3
bright,positive,6,1
complain,negative,6,-2
curse,negative,6,-1
debt,negative,6,-2
delighted,positive,6,3
distort,negative,6,-2
excellence,positive,6,3
fails,negative,6,-2
favor,positive,6,2
fond,positive,6,2
harmful,negative,6,-2
hilarious,positive,6,2
horrific,negative,6,-3
horrified,negative,6,-3
incompetent,negative,6,-2
influential,positive,6,2
irrational,negative,6,-1
loser,negative,6,-3
madness,negative,6,-3
misleading,negative,6,-3
naive,negative,6,-2
poison,negative,6,-2
praising,positive,6,3
rejecting,negative,6,-1
scams,negative,6,-2
shameful,negative,6,-2
shocked,negative,6,-2
steal,negative,6,-2
stereotype,negative,6,-2
suspect,negative,6,-1
tortured,negative,6,-4
trusted,positive,6,2
waste,negative,6,-1
abused,negative,5,-3
accusations,negative,5,-2
appreciated,positive,5,2
burden,negative,5,-2
capable,positive,5,1
cruel,negative,5,-3
disgraced,negative,5,-2
disgust,negative,5,-3
dispute,negative,5,-2
disturbed,negative,5,-2
disturbing,negative,5,-2
doom,negative,5,-2
endorses,positive,5,2
envy,positive,5,-1
excitement,positive,5,3
failing,negative,5,-2
faithful,positive,5,3
foolish,negative,5,-2
frustration,negative,5,-2
hostile,negative,5,-2
injustice,negative,5,-2
irony,negative,5,-1
keen,positive,5,1
merry,positive,5,3
mistakes,negative,5,-2
myth,negative,5,-1
outstanding,positive,5,5
penalty,negative,5,-2
prosperous,positive,5,3
rage,negative,5,-2
rejected,negative,5,-1
rejects,negative,5,-1
screwed,negative,5,-2
severe,negative,5,-2
suck,negative,5,-3
survivor,positive,5,2
thoughtful,positive,5,2
threaten,negative,5,-2
trauma,negative,5,-3
triumph,positive,5,4
vile,negative,5,-3
abuses,negative,4,-3
accomplish,positive,4,2
accuses,negative,4,-2
admire,positive,4,3
aggression,negative,4,-2
applaud,positive,4,2
awful,negative,4,-3
badly,negative,4,-3
bother,negative,4,-2
breakthrough,positive,4,3
confusing,negative,4,-2
controversial,negative,4,-2
courageous,positive,4,2
decisive,positive,4,1
dirt,negative,4,-2
disappointed,negative,4,-2
disaster,negative,4,-2
disbelieve,negative,4,-2
disregard,negative,4,-2
embarrassment,negative,4,-2
endorse,positive,4,2
failures,negative,4,-2
fool,negative,4,-2
frustrating,negative,4,-2
gained,positive,4,2
gaining,positive,4,2
gross,negative,4,-2
guarantee,positive,4,1
guilty,negative,4,-3
harsh,negative,4,-2
helpful,positive,4,2
hoax,negative,4,-2
hurting,negative,4,-2
impressed,positive,4,3
infected,negative,4,-2
irresponsible,negative,4,2
lied,negative,4,-2
lively,positive,4,2
loyal,positive,4,3
lucky,positive,4,3
manipulation,negative,4,-1
marvel,positive,4,3
misunderstood,negative,4,-2
mocked,negative,4,-2
moron,negative,4,-3
murderous,negative,4,-3
odd,negative,4,-2
paradise,positive,4,3
pity,negative,4,-2
privileged,positive,4,2
punish,negative,4,-2
questionable,negative,4,-2
refusing,negative,4,-2
rejoice,positive,4,4
rejoicing,positive,4,4
remarkable,positive,4,2
restricted,negative,4,-2
ruining,negative,4,-2
ruins,negative,4,-2
scream,negative,4,-2
sexy,positive,4,3
sincerely,positive,4,2
thankful,positive,4,2
treasure,positive,4,2
vague,negative,4,-2
vulnerable,negative,4,-2
warm,positive,4,1
adorable,positive,3,3
adore,positive,3,3
alarmed,negative,3,-2
antagonistic,negative,3,-2
astounding,positive,3,3
awards,positive,3,3
bastard,negative,3,-5
belittle,negative,3,-2
bizarre,negative,3,-2
chaotic,negative,3,-2
cheats,negative,3,-3
compassionate,positive,3,2
conflicting,negative,3,-2
conflicts,negative,3,-2
coward,negative,3,-2
cowardly,negative,3,-2
crash,negative,3,-2
critic,negative,3,-2
critics,negative,3,-2
cruelty,negative,3,-3
crushed,negative,3,-2
damned,negative,3,-4
deceive,negative,3,-3
deception,negative,3,-3
degrade,negative,3,-2
denies,negative,3,-2
depressed,negative,3,-2
desperately,negative,3,-3
disadvantage,negative,3,-2
disastrous,negative,3,-3
disparaging,negative,3,-2
distraction,negative,3,-2
doubts,negative,3,-1
dreadful,negative,3,-3
effectively,positive,3,2
embarrassing,negative,3,-2
emergency,negative,3,-2
endorsement,positive,3,2
enjoying,positive,3,2
enlighten,positive,3,2
error,negative,3,-2
fatigue,negative,3,-2
festive,positive,3,2
gleeful,positive,3,3
glorious,positive,3,2
gracious,positive,3,3
guilt,negative,3,-3
heroic,positive,3,3
horrendous,negative,3,-3
hysteria,negative,3,-3
hysterical,negative,3,-3
imposing,negative,3,-1
impress,positive,3,3
impressive,positive,3,3
improved,positive,3,2
intense,negative,3,1
intimidating,negative,3,-2
jealous,negative,3,-2
lags,negative,3,-2
lame,negative,3,-2
liars,negative,3,-3
miracle,positive,3,4
mischief,negative,3,-1
pleased,positive,3,3
poised,positive,3,-2
positively,positive,3,2
prosecute,negative,3,-1
rant,negative,3,-3
regret,negative,3,-2
restored,positive,3,1
revive,positive,3,2
rewarding,positive,3,2
satisfied,positive,3,2
scapegoat,negative,3,-2
shock,negative,3,-2
sincerity,positive,3,2
smarter,positive,3,2
smiling,positive,3,2
solid,positive,3,2
steals,negative,3,-2
suffers,negative,3,-2
tension,negative,3,-1
totalitarian,negative,3,-2
unjust,negative,3,-2
unstable,negative,3,-2
upsets,negative,3,-2
useless,negative,3,-2
vicious,negative,3,-2
wicked,negative,3,-2
absentee,negative,2,-1
abusive,negative,2,-3
accomplished,positive,2,2
ache,negative,2,-2
advantages,positive,2,2
alienation,negative,2,-2
amazed,positive,2,2
annoyed,negative,2,-2
anxious,negative,2,-2
appalling,negative,2,-2
ardent,positive,2,1
awarded,positive,2,3
awkward,negative,2,-2
bankrupt,negative,2,-3
bastards,negative,2,-5
betrayal,negative,2,-3
bothered,negative,2,-2
bully,negative,2,-2
