word,sentiment,n,value
peace,positive,493,2
die,negative,313,-3
love,positive,276,3
faith,positive,237,1
hate,negative,208,-3
bad,negative,196,-3
freedom,positive,180,2
terror,negative,172,-3
wrong,negative,156,-2
free,positive,139,1
support,positive,138,2
killing,negative,131,-3
kill,negative,123,-3
attack,negative,116,-1
killed,negative,111,-3
death,negative,97,-2
evil,negative,94,-3
attacks,negative,92,-1
tout,negative,87,-2
peaceful,positive,86,2
enemy,negative,82,-2
murder,negative,79,-2
violent,negative,76,-3
perfect,positive,75,3
racist,negative,70,-3
fear,negative,69,-2
rape,negative,66,-4
hard,negative,64,-1
shit,negative,62,-4
threat,negative,62,-2
dire,negative,59,-3
hell,negative,54,-4
racism,negative,54,-3
criminal,negative,53,-3
fuck,negative,52,-4
pretty,positive,52,1
top,positive,51,2
insult,negative,50,-2
condemn,negative,49,-2
crisis,negative,49,-3
enemies,negative,49,-2
lost,negative,49,-3
win,positive,49,4
blame,negative,48,-2
criticism,negative,46,-2
nice,positive,46,3
hates,negative,44,-3
fake,negative,43,-3
crime,negative,39,-3
destroy,negative,39,-3
beautiful,positive,38,3
promised,positive,37,1
sad,negative,37,-2
stupid,negative,37,-2
torture,negative,37,-4
ignorant,negative,36,-2
benefit,positive,35,2
happy,positive,35,3
crazy,negative,34,-2
died,negative,33,-3
funny,negative,33,4
grand,positive,31,3
prison,negative,31,-2
dead,negative,30,-3
recommended,positive,30,2
worst,negative,30,-3
fine,positive,29,2
illegal,negative,29,-3
mad,negative,29,-3
supporting,positive,29,1
doubt,negative,28,-1
fun,positive,28,4
nonsense,negative,28,-2
protest,negative,28,-2
strong,positive,28,2
propaganda,negative,27,-2
sick,negative,27,-2
fair,positive,26,2
poor,negative,26,-2
protect,positive,26,1
worse,negative,26,-3
abuse,negative,25,-3
afraid,negative,25,-2
criticize,negative,25,-2
disgusting,negative,25,-3
excuse,negative,25,-1
fucking,negative,25,-4
ignorance,negative,25,-2
loving,positive,25,2
angry,negative,24,-3
conflict,negative,24,-2
weak,negative,24,-2
ignore,negative,23,-1
noble,positive,23,2
proud,positive,23,2
reject,negative,23,-1
shame,negative,23,-2
wow,positive,23,4
boycott,negative,22,-2
lack,negative,22,-2
sincere,positive,22,2
weird,negative,22,-2
amazing,positive,21,4
cancer,negative,21,-1
confused,negative,20,-2
cool,positive,20,1
harm,negative,20,-2
mocking,negative,20,-2
criticizing,negative,19,-2
honest,positive,19,2
insulting,negative,19,-2
mock,negative,19,-2
