word,sentiment,n,value
love,positive,293,3
hate,negative,274,-3
racist,negative,270,-3
support,positive,245,2
faith,positive,163,1
racism,negative,162,-3
bad,negative,160,-3
peace,positive,152,2
wrong,negative,147,-2
attack,negative,136,-1
shit,negative,132,-4
win,positive,128,4
free,positive,127,1
freedom,positive,116,2
killed,negative,111,-3
kill,negative,108,-3
fear,negative,104,-2
attacks,negative,96,-1
won,positive,95,3
happy,positive,91,3
proud,positive,90,2
lost,negative,85,-3
death,negative,84,-2
hell,negative,81,-4
hard,negative,79,-1
killing,negative,75,-3
fake,negative,71,-3
crime,negative,70,-3
protect,positive,69,1
fuck,negative,68,-4
safe,positive,66,1
terror,negative,66,-3
evil,negative,64,-3
fucking,negative,64,-4
sad,negative,64,-2
worry,negative,62,-3
die,negative,61,-3
supported,positive,59,2
supporting,positive,58,1
stupid,negative,56,-2
dead,negative,55,-3
worse,negative,54,-3
pretty,positive,52,1
trust,positive,52,1
top,positive,50,2
wins,positive,50,4
criminal,negative,49,-3
nice,positive,48,3
celebrate,positive,45,3
crazy,negative,45,-2
illegal,negative,45,-3
supports,positive,45,2
destroy,negative,44,-3
perfect,positive,43,3
poor,negative,43,-2
condemn,negative,42,-2
fine,positive,42,2
funny,negative,42,4
popular,positive,42,3
fraud,negative,41,-4
enemies,negative,40,-2
propaganda,negative,40,-2
strong,positive,39,2
damn,negative,38,-4
murder,negative,38,-2
violent,negative,38,-3
beautiful,positive,37,3
joke,negative,37,2
wow,positive,37,4
blame,negative,36,-2
easy,positive,36,1
hates,negative,36,-3
rich,positive,36,2
shame,negative,36,-2
benefit,positive,35,2
bomb,negative,35,-1
disgusting,negative,35,-3
encourage,positive,35,2
broke,negative,34,-1
congratulations,positive,34,2
hurt,negative,34,-2
cool,positive,33,1
prison,negative,33,-2
protests,negative,32,-2
supporter,positive,32,1
worst,negative,32,-3
enemy,negative,31,-2
conspiracy,negative,30,-3
peaceful,positive,30,2
protest,negative,30,-2
racists,negative,30,-3
refused,negative,30,-2
glad,positive,29,3
ignorant,negative,29,-2
loved,positive,29,3
rape,negative,29,-4
threat,negative,29,-2
mad,negative,28,-3
shocking,negative,28,-2
vibrant,positive,28,3
afraid,negative,27,-2
conflict,negative,27,-2
doubt,negative,27,-1
dumb,negative,27,-3
gain,positive,27,2
ridiculous,negative,27,-3
solidarity,positive,27,2
worth,positive,27,2
amazing,positive,26,4
crisis,negative,26,-3
died,negative,26,-3
helping,positive,26,2
ignorance,negative,26,-2
sick,negative,26,-2
uncomfortable,negative,26,-2
weird,negative,26,-2
winning,positive,25,4
boycott,negative,24,-2
comfortable,positive,24,2
effective,positive,24,2
failed,negative,24,-2
fair,positive,24,2
scared,negative,24,-2
threats,negative,24,-2
worried,negative,24,-3
bullshit,negative,23,-4
disrespect,negative,23,-2
enjoy,positive,23,2
hating,negative,23,-3
bitch,negative,22,-5
horrible,negative,22,-3
idiot,negative,22,-3
positive,positive,22,2
abuse,negative,21,-3
crap,negative,21,-3
excited,positive,21,3
heaven,positive,21,2
honor,positive,21,2
lack,negative,21,-2
loyalty,positive,21,3
nonsense,negative,21,-2
outrage,negative,21,-3
angry,negative,20,-3
bless,positive,20,2
insulting,negative,20,-2
promise,positive,20,1
tired,negative,20,-2
clean,positive,19,2
danger,negative,19,-2
harm,negative,19,-2
miss,negative,19,-2
