Date,Year,Month_1,Month (Name),key_word,value
2008-01,2008,1,January,Muslim,0
2008-01,2008,1,January,Terrorism,21
2008-02,2008,2,February,Muslim,42
2008-02,2008,2,February,Terrorism,43
2008-03,2008,3,March,Muslim,24
2008-03,2008,3,March,Terrorism,0
2008-04,2008,4,April,Muslim,0
2008-04,2008,4,April,Terrorism,0
2008-05,2008,5,May,Muslim,0
2008-05,2008,5,May,Terrorism,0
2008-06,2008,6,June,Muslim,26
2008-06,2008,6,June,Terrorism,27
2008-07,2008,7,July,Muslim,28
2008-07,2008,7,July,Terrorism,0
2008-08,2008,8,August,Muslim,0
2008-08,2008,8,August,Terrorism,0
2008-09,2008,9,September,Muslim,52
2008-09,2008,9,September,Terrorism,17
2008-10,2008,10,October,Muslim,57
2008-10,2008,10,October,Terrorism,19
2008-11,2008,11,November,Muslim,34
2008-11,2008,11,November,Terrorism,17
2008-12,2008,12,December,Muslim,0
2008-12,2008,12,December,Terrorism,0
2009-01,2009,1,January,Muslim,17
2009-01,2009,1,January,Terrorism,17
2009-02,2009,2,February,Muslim,0
2009-02,2009,2,February,Terrorism,0
2009-03,2009,3,March,Muslim,0
2009-03,2009,3,March,Terrorism,17
2009-04,2009,4,April,Muslim,11
2009-04,2009,4,April,Terrorism,11
2009-05,2009,5,May,Muslim,0
2009-05,2009,5,May,Terrorism,11
2009-06,2009,6,June,Muslim,20
2009-06,2009,6,June,Terrorism,0
2009-07,2009,7,July,Muslim,20
2009-07,2009,7,July,Terrorism,0
2009-08,2009,8,August,Muslim,0
2009-08,2009,8,August,Terrorism,0
2009-09,2009,9,September,Muslim,19
2009-09,2009,9,September,Terrorism,19
2009-10,2009,10,October,Muslim,0
2009-10,2009,10,October,Terrorism,36
2009-11,2009,11,November,Muslim,19
2009-11,2009,11,November,Terrorism,0
2009-12,2009,12,December,Muslim,19
2009-12,2009,12,December,Terrorism,0
2010-01,2010,1,January,Muslim,18
2010-01,2010,1,January,Terrorism,37
2010-02,2010,2,February,Muslim,19
2010-02,2010,2,February,Terrorism,0
2010-03,2010,3,March,Muslim,20
2010-03,2010,3,March,Terrorism,20
2010-04,2010,4,April,Muslim,30
