word,sentiment,n
vice,negative,800
trump,positive,453
love,positive,290
peace,positive,220
hate,negative,209
racist,negative,179
support,positive,179
congratulations,positive,147
faith,positive,137
free,positive,137
radical,negative,135
racism,negative,132
bad,negative,129
die,negative,129
wrong,negative,120
win,positive,118
freedom,positive,117
happy,positive,116
terrorism,negative,109
proud,positive,106
respect,positive,91
shit,negative,90
won,positive,86
attack,negative,81
issues,negative,81
kill,negative,80
killing,negative,80
killed,negative,79
hard,negative,77
terror,negative,76
death,negative,73
pretty,positive,72
victory,positive,69
attacks,negative,67
celebrate,positive,67
evil,negative,64
holy,positive,64
favorite,positive,60
amazing,positive,58
excited,positive,58
