word,sentiment,n
peace,positive,493
radical,negative,328
die,negative,313
love,positive,276
trump,positive,239
faith,positive,237
terrorism,negative,226
hate,negative,208
bad,negative,196
freedom,positive,180
terror,negative,172
wrong,negative,156
respect,positive,146
free,positive,139
support,positive,138
killing,negative,131
kill,negative,123
attack,negative,116
killed,negative,111
holy,positive,109
death,negative,97
evil,negative,94
attacks,negative,92
tout,negative,87
peaceful,positive,86
enemy,negative,82
murder,negative,79
violent,negative,76
extremism,negative,75
extremists,negative,75
perfect,positive,75
modern,positive,55
pretty,positive,52
top,positive,51
win,positive,49
nice,positive,46
correct,positive,41
wisdom,positive,41
honorable,positive,40
beautiful,positive,38
