word,sentiment,n
trump,positive,857
love,positive,293
hate,negative,274
racist,negative,270
support,positive,245
faith,positive,163
racism,negative,162
bad,negative,160
peace,positive,152
wrong,negative,147
attack,negative,136
shit,negative,132
win,positive,128
free,positive,127
terrorism,negative,123
freedom,positive,116
killed,negative,111
kill,negative,108
fear,negative,104
attacks,negative,96
radical,negative,96
won,positive,95
happy,positive,91
proud,positive,90
lost,negative,85
death,negative,84
extremists,negative,83
hell,negative,81
hard,negative,79
respect,positive,79
bigotry,negative,78
killing,negative,75
protect,positive,69
safe,positive,66
relief,positive,59
supported,positive,59
victory,positive,59
supporting,positive,58
holy,positive,56
pretty,positive,52
progressive,positive,52
trust,positive,52
