Month,Year,Month,Month (Name),Muslim,Terrorism
2008-01,2008,1,January,0,21
2008-02,2008,2,February,42,43
2008-03,2008,3,March,24,0
2008-04,2008,4,April,0,0
2008-05,2008,5,May,0,0
2008-06,2008,6,June,26,27
2008-07,2008,7,July,28,0
2008-08,2008,8,August,0,0
2008-09,2008,9,September,52,17
2008-10,2008,10,October,57,19
2008-11,2008,11,November,34,17
2008-12,2008,12,December,0,0
2009-01,2009,1,January,17,17
2009-02,2009,2,February,0,0
2009-03,2009,3,March,0,17
2009-04,2009,4,April,11,11
2009-05,2009,5,May,0,11
2009-06,2009,6,June,20,0
2009-07,2009,7,July,20,0
2009-08,2009,8,August,0,0
2009-09,2009,9,September,19,19
2009-10,2009,10,October,0,36
2009-11,2009,11,November,19,0
2009-12,2009,12,December,19,0
2010-01,2010,1,January,18,37
2010-02,2010,2,February,19,0
2010-03,2010,3,March,20,20
2010-04,2010,4,April,30,0
2010-05,2010,5,May,0,62
2010-06,2010,6,June,30,0
2010-07,2010,7,July,0,0
2010-08,2010,8,August,44,29
2010-09,2010,9,September,61,0
2010-10,2010,10,October,30,0
2010-11,2010,11,November,33,34
2010-12,2010,12,December,0,0
2011-01,2011,1,January,0,0
2011-02,2011,2,February,18,18
2011-03,2011,3,March,15,29
2011-04,2011,4,April,16,16
2011-05,2011,5,May,31,0
2011-06,2011,6,June,70,0
2011-07,2011,7,July,27,0
2011-08,2011,8,August,0,0
2011-09,2011,9,September,25,33
2011-10,2011,10,October,0,0
2011-11,2011,11,November,28,0
2011-12,2011,12,December,0,15
2012-01,2012,1,January,28,14
2012-02,2012,2,February,29,14
2012-03,2012,3,March,13,14
2012-04,2012,4,April,15,0
2012-05,2012,5,May,29,15
2012-06,2012,6,June,15,0
2012-07,2012,7,July,0,14
2012-08,2012,8,August,25,13
2012-09,2012,9,September,36,0
2012-10,2012,10,October,8,8
2012-11,2012,11,November,11,0
2012-12,2012,12,December,8,16
2013-01,2013,1,January,16,8
2013-02,2013,2,February,9,9
2013-03,2013,3,March,8,0
2013-04,2013,4,April,11,15
2013-05,2013,5,May,8,8
2013-06,2013,6,June,8,0
2013-07,2013,7,July,12,0
2013-08,2013,8,August,8,8
2013-09,2013,9,September,21,21
2013-10,2013,10,October,0,0
2013-11,2013,11,November,0,0
2013-12,2013,12,December,9,9
2014-01,2014,1,January,8,13
2014-02,2014,2,February,0,27
2014-03,2014,3,March,0,8
2014-04,2014,4,April,8,8
2014-05,2014,5,May,21,9
2014-06,2014,6,June,9,0
2014-07,2014,7,July,17,9
2014-08,2014,8,August,0,0
2014-09,2014,9,September,8,12
2014-10,2014,10,October,16,0
2014-11,2014,11,November,17,9
2014-12,2014,12,December,0,0
2015-01,2015,1,January,27,13
2015-02,2015,2,February,10,10
2015-03,2015,3,March,18,0
2015-04,2015,4,April,19,10
2015-05,2015,5,May,0,21
2015-06,2015,6,June,16,11
2015-07,2015,7,July,22,33
2015-08,2015,8,August,11,0
2015-09,2015,9,September,51,0
2015-10,2015,10,October,19,14
2015-11,2015,11,November,33,24
2015-12,2015,12,December,94,35
2016-01,2016,1,January,9,9
2016-02,2016,2,February,13,13
2016-03,2016,3,March,13,10
2016-04,2016,4,April,13,9
2016-05,2016,5,May,14,9
2016-06,2016,6,June,23,12
2016-07,2016,7,July,16,7
2016-08,2016,8,August,13,7
2016-09,2016,9,September,18,21
2016-10,2016,10,October,14,14
2016-11,2016,11,November,44,17
2016-12,2016,12,December,23,19
2017-01,2017,1,January,69,14
2017-02,2017,2,February,100,8
2017-03,2017,3,March,20,21
2017-04,2017,4,April,28,28
2017-05,2017,5,May,35,35
2017-06,2017,6,June,26,26
2017-07,2017,7,July,45,0
2017-08,2017,8,August,14,28
2017-09,2017,9,September,14,14
2017-10,2017,10,October,27,21
2017-11,2017,11,November,58,0
2017-12,2017,12,December,15,29
2018-01,2018,1,January,27,13
2018-02,2018,2,February,0,16
2018-03,2018,3,March,0,15
2018-04,2018,4,April,16,16
2018-05,2018,5,May,33,16
2018-06,2018,6,June,0,0
2018-07,2018,7,July,0,0
2018-08,2018,8,August,18,0
2018-09,2018,9,September,17,17
2018-10,2018,10,October,0,25
2018-11,2018,11,November,18,18
2018-12,2018,12,December,19,0
2019-01,2019,1,January,0,0
2019-02,2019,2,February,19,19
2019-03,2019,3,March,44,0
2019-04,2019,4,April,37,38
2019-05,2019,5,May,19,19
2019-06,2019,6,June,19,0
2019-07,2019,7,July,18,18
2019-08,2019,8,August,18,0
2019-09,2019,9,September,18,0
2019-10,2019,10,October,0,26
2019-11,2019,11,November,0,19
2019-12,2019,12,December,20,0
2020-01,2020,1,January,0,0
2020-02,2020,2,February,16,0
2020-03,2020,3,March,9,0
2020-04,2020,4,April,0,11
2020-05,2020,5,May,12,12
2020-06,2020,6,June,0,0
2020-07,2020,7,July,13,13
2020-08,2020,8,August,0,14
2020-09,2020,9,September,0,14
2020-10,2020,10,October,0,0
