Category: News

Month,Muslim: (United States),terrorism: (United States)
2008-01,0,21
2008-02,42,43
2008-03,24,0
2008-04,0,0
2008-05,0,0
2008-06,26,27
2008-07,28,0
2008-08,0,0
2008-09,52,17
2008-10,57,19
2008-11,34,17
2008-12,0,0
2009-01,17,17
2009-02,0,0
2009-03,0,17
2009-04,11,11
2009-05,0,11
2009-06,20,0
2009-07,20,0
2009-08,0,0
2009-09,19,19
2009-10,0,36
2009-11,19,0
2009-12,19,0
2010-01,18,37
2010-02,19,0
2010-03,20,20
2010-04,30,0
2010-05,0,62
2010-06,30,0
2010-07,0,0
2010-08,44,29
2010-09,61,0
2010-10,30,0
2010-11,33,34
2010-12,0,0
2011-01,0,0
2011-02,18,18
2011-03,15,29
2011-04,16,16
2011-05,31,0
2011-06,70,0
2011-07,27,0
2011-08,0,0
2011-09,25,33
2011-10,0,0
2011-11,28,0
2011-12,0,15
2012-01,28,14
2012-02,29,14
2012-03,13,14
2012-04,15,0
2012-05,29,15
2012-06,15,0
2012-07,0,14
2012-08,25,13
2012-09,36,0
2012-10,8,8
2012-11,11,0
2012-12,8,16
2013-01,16,8
2013-02,9,9
2013-03,8,0
2013-04,11,15
2013-05,8,8
2013-06,8,0
2013-07,12,0
2013-08,8,8
2013-09,21,21
2013-10,0,0
2013-11,0,0
2013-12,9,9
2014-01,8,13
2014-02,0,27
2014-03,0,8
2014-04,8,8
2014-05,21,9
2014-06,9,0
2014-07,17,9
2014-08,0,0
2014-09,8,12
2014-10,16,0
2014-11,17,9
2014-12,0,0
2015-01,27,13
2015-02,10,10
2015-03,18,0
2015-04,19,10
2015-05,0,21
2015-06,16,11
2015-07,22,33
2015-08,11,0
2015-09,51,0
2015-10,19,14
2015-11,33,24
2015-12,94,35
2016-01,9,9
2016-02,13,13
2016-03,13,10
2016-04,13,9
2016-05,14,9
2016-06,23,12
2016-07,16,7
2016-08,13,7
2016-09,18,21
2016-10,14,14
2016-11,44,17
2016-12,23,19
2017-01,69,14
2017-02,100,8
2017-03,20,21
2017-04,28,28
2017-05,35,35
2017-06,26,26
2017-07,45,0
2017-08,14,28
2017-09,14,14
2017-10,27,21
2017-11,58,0
2017-12,15,29
2018-01,27,13
2018-02,0,16
2018-03,0,15
2018-04,16,16
2018-05,33,16
2018-06,0,0
2018-07,0,0
2018-08,18,0
2018-09,17,17
2018-10,0,25
2018-11,18,18
2018-12,19,0
2019-01,0,0
2019-02,19,19
2019-03,44,0
2019-04,37,38
2019-05,19,19
2019-06,19,0
2019-07,18,18
2019-08,18,0
2019-09,18,0
2019-10,0,26
2019-11,0,19
2019-12,20,0
2020-01,0,0
2020-02,16,0
2020-03,9,0
2020-04,0,11
2020-05,12,12
2020-06,0,0
2020-07,13,13
2020-08,0,14
2020-09,0,14
2020-10,0,0
